Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean(5.7.14),Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132
9.490,13.175,12.948,18.375,13.484,22.741,28.031,26.415,18.296,22.108,16.302,18.142,18.155,19.182,16.600,21.789,12.009,24.930,15.726,13.173,9.714,13.194,16.707,17.000,12.328,14.811,14.918,11.829,12.276,8.331,10.712,9.843,9.087,7.786,8.854,6.402,4.258,3.406,10.935,10.210,6.266,19.849,25.491,9.746,13.883,14.227,19.242,8.679,15.971,17.413,18.082,9.610,13.145,14.798,11.754,8.670,9.652,14.043,17.293,15.078,17.466,22.863,18.905,15.796,17.294,18.809,13.337,13.924,9.042,8.924,20.408,23.122,14.056,18.333,24.339,16.000,20.148,12.591,37.194,19.981,32.363,31.940,25.889,22.774,37.907,36.049,37.342,35.124,30.149,33.171,47.022,69.806,54.456,60.241,47.094,73.917,60.481,49.850,35.660,54.487,52.447,32.959,27.879,41.581,25.247,13.484,44.080,27.815,30.333,45.462,21.557,19.615,30.600,19.863,22.976,45.056,18.430,24.724,18.280,19.029,42.679,31.644,9.673,9.780,13.593,20.534,8.934,5.080,10.706,18.502,44.066,15.733
10.106,12.990,12.626,18.365,13.532,20.655,25.543,24.500,16.432,21.366,16.283,17.252,18.211,17.673,14.907,19.533,10.685,23.638,15.398,13.067,9.393,11.597,15.453,16.739,12.175,14.210,14.464,10.843,10.924,8.339,10.523,9.843,8.750,8.009,8.102,6.431,4.292,3.789,10.500,10.707,7.161,18.411,24.527,9.653,12.636,14.693,17.695,8.194,15.386,16.405,18.309,8.640,12.566,14.570,11.596,8.273,8.696,13.300,15.478,14.844,17.172,22.225,18.917,15.285,17.993,18.247,12.978,14.765,8.467,7.598,19.070,22.704,12.324,18.464,23.530,15.891,18.844,11.424,34.388,19.583,30.549,29.851,25.111,20.623,32.619,32.862,31.696,32.897,27.624,30.467,39.785,61.071,49.058,54.500,42.118,61.833,56.481,43.850,32.628,47.838,46.776,31.541,26.258,40.209,22.156,13.532,38.716,24.963,29.644,41.423,19.262,19.831,27.760,20.353,22.940,41.097,17.875,21.810,17.307,17.229,38.268,25.932,8.633,11.480,13.121,19.534,8.462,5.453,11.520,17.531,38.716,14.920
9.683,11.942,11.557,17.260,13.048,20.267,23.612,23.500,17.123,19.624,15.415,16.528,15.845,16.318,15.827,19.733,11.000,22.483,13.938,11.760,9.714,10.764,14.400,15.303,11.788,14.776,14.018,10.093,10.381,8.102,9.939,10.520,8.721,7.880,9.108,6.039,4.348,3.632,10.241,10.659,7.202,19.041,22.727,9.085,14.545,13.507,17.326,8.351,14.436,18.429,18.864,9.650,10.789,14.228,11.965,8.011,9.054,14.071,16.902,14.244,16.687,21.088,21.509,14.942,17.081,18.899,12.793,13.529,7.867,7.717,17.887,20.113,11.803,16.855,22.905,14.094,15.933,11.576,31.119,17.981,29.578,26.343,22.148,19.113,30.010,28.902,30.342,28.414,24.990,27.219,34.753,57.613,45.417,49.672,40.318,59.150,51.222,44.050,28.681,46.612,43.718,28.480,24.589,37.953,21.818,13.048,36.432,24.333,24.178,39.397,19.967,17.200,26.200,17.373,21.857,35.250,16.617,20.733,16.507,15.600,34.375,26.576,10.469,12.100,12.681,18.898,8.142,4.526,10.853,17.715,35.327,14.104
10.625,15.165,12.435,24.865,18.429,23.336,27.256,27.439,18.901,22.688,15.340,17.898,17.831,20.482,15.547,20.389,10.796,24.112,15.354,14.510,8.661,10.736,14.747,15.412,12.774,14.189,13.318,10.586,10.048,8.212,10.364,10.108,9.125,7.624,7.605,6.471,4.236,3.105,10.361,11.060,6.435,20.288,24.727,8.907,15.870,14.147,18.611,10.336,17.829,24.333,22.609,13.070,20.421,17.482,11.974,8.148,11.957,13.229,16.859,17.600,18.166,22.363,25.822,17.299,21.199,16.820,12.250,14.218,7.858,9.630,20.000,19.957,13.408,23.275,35.339,25.422,25.630,13.152,38.597,33.495,38.892,33.493,25.790,17.717,32.289,29.764,28.342,27.421,26.762,29.238,35.043,62.348,50.379,55.638,41.659,55.117,59.123,48.800,46.043,52.412,50.094,33.357,28.403,53.209,26.364,18.429,54.500,29.444,33.356,41.564,19.033,23.431,38.620,24.765,24.893,44.097,17.398,24.819,23.147,23.829,35.821,27.831,9.939,11.100,13.802,19.330,8.632,5.036,11.010,21.284,38.475,16.870
14.837,19.136,17.539,56.452,44.310,31.181,63.922,72.963,57.889,61.183,45.943,40.591,37.028,51.518,21.533,36.589,11.870,43.747,32.301,38.808,9.286,10.847,15.653,20.462,13.927,18.916,15.727,13.186,17.257,8.720,9.879,10.255,8.904,7.692,8.076,6.088,4.258,3.113,9.444,10.413,6.774,20.205,25.818,9.517,15.494,13.720,19.726,10.216,20.157,28.135,23.355,13.690,25.684,17.991,13.184,10.114,17.674,15.200,19.522,25.333,18.767,27.824,28.959,19.482,21.375,18.483,12.022,15.294,7.817,8.913,18.549,20.583,14.352,26.145,41.607,30.516,34.356,18.288,49.739,51.369,53.676,45.313,40.728,20.189,42.938,34.073,30.671,33.014,31.554,36.086,42.860,81.787,73.282,78.422,53.612,66.733,72.420,76.775,68.606,92.300,73.741,50.592,52.952,83.581,32.727,44.310,76.250,36.741,37.889,42.141,21.443,30.631,55.740,37.392,30.321,45.611,20.109,26.438,28.640,28.943,34.125,27.576,8.367,10.800,14.736,20.705,8.377,4.774,10.833,22.853,64.019,20.624
16.740,20.010,18.174,69.894,53.095,35.284,76.225,77.988,80.025,77.065,66.736,48.669,44.085,59.473,25.280,40.189,11.593,48.073,36.903,46.923,7.821,10.250,16.853,23.580,14.343,20.944,17.382,14.471,20.371,8.288,10.500,10.824,8.490,6.880,8.433,6.206,4.494,3.541,9.898,10.934,7.113,21.740,25.455,9.127,13.597,14.880,20.526,10.396,20.236,29.048,23.818,14.910,29.250,18.123,12.149,10.193,20.630,14.243,20.587,28.611,19.215,27.833,30.089,20.861,21.485,18.157,12.315,14.303,6.967,8.978,19.310,22.252,14.380,28.130,43.012,34.703,38.719,20.833,51.955,56.738,58.667,50.313,41.753,20.358,46.103,35.398,30.323,33.007,32.842,35.324,45.387,88.419,72.602,81.345,57.906,73.067,78.321,87.525,77.968,101.988,82.953,59.194,57.355,90.186,35.221,53.095,79.920,38.648,42.067,41.090,20.279,32.369,61.920,39.275,29.810,46.403,18.312,26.190,27.240,32.857,34.625,24.339,10.163,11.380,13.352,19.489,8.217,4.620,10.912,22.863,64.642,20.200
16.183,19.922,18.043,72.481,55.873,36.948,74.984,75.037,83.642,81.785,72.321,52.551,47.014,64.509,25.080,37.489,11.120,46.522,35.221,46.000,9.089,9.347,16.733,22.025,14.438,20.979,17.091,13.957,22.314,8.805,10.470,9.961,8.019,7.821,7.611,5.824,4.090,3.429,8.870,11.006,6.815,19.301,23.218,9.051,13.286,14.240,18.053,10.112,21.221,27.857,23.491,15.260,31.382,17.018,11.342,10.068,19.076,14.357,19.435,30.489,20.055,25.745,29.065,21.504,21.816,17.753,12.696,12.403,6.733,9.935,17.986,20.591,14.662,26.826,43.435,32.078,38.230,19.424,51.739,58.136,57.902,51.060,41.481,18.094,43.144,33.667,28.475,30.786,32.901,33.581,44.763,83.239,69.204,80.991,56.459,70.917,78.321,90.125,79.830,104.725,79.176,52.969,57.266,89.093,36.481,55.873,76.966,38.185,41.733,40.936,20.852,32.615,60.020,37.216,30.119,44.111,17.711,24.648,28.600,29.943,30.393,25.220,8.857,11.860,12.791,18.795,8.292,5.051,11.010,21.409,59.599,18.717
14.673,18.951,17.965,70.462,54.603,34.931,75.349,73.768,82.531,82.344,70.453,51.465,47.408,64.336,24.800,36.633,10.667,43.237,37.106,44.375,8.071,9.000,16.013,23.118,13.774,20.406,17.155,13.229,23.257,7.839,9.538,9.922,8.923,7.068,7.847,5.637,4.539,3.256,9.306,10.365,6.484,18.493,25.600,8.636,12.221,13.773,16.253,9.619,20.543,26.738,23.682,13.540,31.842,19.474,12.360,9.466,20.141,15.071,18.511,28.489,20.123,25.343,28.379,21.015,21.434,17.652,12.207,14.000,7.133,8.533,16.761,19.904,13.465,26.580,41.429,32.203,36.222,18.576,49.851,54.786,55.039,45.552,39.037,17.509,40.165,31.488,27.019,28.372,30.158,34.086,40.355,81.948,68.650,75.112,52.659,70.650,74.420,84.075,76.660,95.475,73.506,47.449,53.306,86.814,33.818,54.603,72.023,38.796,39.822,35.756,20.164,29.908,54.640,36.157,28.524,42.208,19.148,24.867,24.533,28.000,27.518,22.542,8.531,10.420,13.418,18.489,7.821,4.679,10.873,19.940,53.506,17.384
16.788,20.845,17.452,66.692,52.714,33.543,68.589,64.866,78.654,77.753,67.226,51.654,46.718,55.782,22.800,32.489,10.944,39.213,34.159,40.750,8.089,8.764,15.360,20.109,13.007,19.315,15.345,13.479,22.410,8.212,9.894,9.618,7.577,7.051,8.045,6.235,4.157,3.624,9.426,10.108,6.806,19.452,23.964,8.059,12.870,13.147,18.084,9.619,19.736,25.611,22.773,14.280,29.382,16.544,12.149,10.045,19.326,16.114,19.043,30.611,19.350,23.588,27.799,20.547,20.566,17.820,11.380,13.176,6.883,8.707,17.599,19.130,13.183,25.812,39.875,31.812,33.919,17.576,47.037,52.282,52.255,43.567,37.198,17.962,40.082,29.780,27.316,27.793,29.762,32.152,39.914,76.826,64.087,68.750,49.412,63.300,70.259,79.200,69.702,89.475,68.306,44.449,47.306,84.674,31.506,52.714,71.011,38.019,35.867,35.359,20.623,30.862,52.940,31.667,25.381,38.389,18.062,21.962,26.147,24.886,26.054,22.339,9.082,11.340,13.692,17.318,9.038,4.869,10.539,18.446,47.474,15.981
14.721,19.252,16.122,65.519,48.738,32.147,64.326,59.659,74.444,71.731,61.000,48.087,42.451,55.245,22.947,30.678,11.056,37.344,33.690,39.596,8.000,8.444,14.347,19.420,13.540,18.818,15.336,12.414,20.581,8.229,9.939,10.265,8.212,6.889,7.484,6.245,3.921,3.504,9.241,10.102,6.653,18.205,20.636,8.602,13.039,12.907,17.674,8.537,18.921,23.119,22.418,14.810,29.632,16.974,12.491,9.500,16.424,14.657,18.272,26.889,19.534,25.147,26.284,19.934,21.338,16.483,11.630,13.529,6.975,7.978,17.908,20.035,12.944,24.551,37.583,28.000,31.400,17.682,45.336,50.631,50.088,43.537,37.185,15.170,36.814,28.407,24.918,25.566,27.416,29.914,36.484,72.348,62.223,66.181,48.106,58.317,64.395,72.400,68.330,81.575,63.835,39.724,45.839,79.163,31.610,48.738,66.034,34.963,36.489,31.218,18.459,28.138,50.460,27.882,25.012,37.014,16.008,20.743,24.027,25.057,23.464,22.847,7.816,11.100,13.121,16.614,7.802,4.796,10.167,17.720,43.100,14.930
